LATITUDE,LONGITUDE,avg_sand_pct,avg_clay_pct,soil_label,infiltration_rate_mm_hr,recommended_structure
8.25,77.0,0.0,0.0,Water Body,0.0,None
8.25,77.25,36.16,36.21,Land,3.0,Recharge Shaft
8.25,77.5,34.87,35.12,Land,3.0,Recharge Shaft
8.25,77.75,37.0,34.48,Land,15.0,Recharge Trench
8.5,76.75,0.0,0.0,Water Body,0.0,None
8.5,77.0,36.67,36.01,Land,3.0,Recharge Shaft
8.5,77.25,36.82,35.0,Land,15.0,Recharge Trench
8.5,77.5,37.99,34.48,Land,15.0,Recharge Trench
8.5,77.75,37.89,36.21,Land,3.0,Recharge Shaft
8.5,78.0,38.02,31.69,Land,15.0,Recharge Trench
8.75,76.5,0.0,0.0,Water Body,0.0,None
8.75,76.75,37.6,31.13,Land,15.0,Recharge Trench
8.75,77.0,37.07,31.67,Land,15.0,Recharge Trench
8.75,77.25,35.54,33.45,Land,15.0,Recharge Trench
8.75,77.5,37.22,35.54,Land,3.0,Recharge Shaft
8.75,77.75,38.43,34.08,Land,15.0,Recharge Trench
8.75,78.0,41.13,33.27,Land,15.0,Recharge Trench
9.0,76.5,32.63,34.77,Land,15.0,Recharge Trench
9.0,76.75,37.71,31.95,Land,15.0,Recharge Trench
9.0,77.0,36.09,33.87,Land,15.0,Recharge Trench
9.0,77.25,38.53,33.79,Land,15.0,Recharge Trench
9.0,77.5,41.62,31.5,Land,15.0,Recharge Trench
9.0,77.75,40.61,34.78,Land,15.0,Recharge Trench
9.0,78.0,43.05,34.08,Land,15.0,Recharge Trench
9.25,76.25,0.0,0.0,Water Body,0.0,None
9.25,76.5,33.89,32.91,Land,15.0,Recharge Trench
9.25,76.75,36.05,31.67,Land,15.0,Recharge Trench
9.25,77.0,35.6,34.51,Land,15.0,Recharge Trench
9.25,77.25,32.75,34.03,Land,15.0,Recharge Trench
9.25,77.5,40.77,32.73,Land,15.0,Recharge Trench
9.25,77.75,37.42,35.95,Land,3.0,Recharge Shaft
9.25,78.0,37.97,37.78,Land,3.0,Recharge Shaft
9.25,78.25,36.13,35.8,Land,3.0,Recharge Shaft
9.25,78.5,32.54,36.91,Land,3.0,Recharge Shaft
9.25,78.75,30.96,36.28,Land,3.0,Recharge Shaft
9.25,79.25,36.57,28.23,Land,15.0,Recharge Trench
9.5,76.25,0.0,0.0,Water Body,0.0,None
9.5,76.5,33.18,32.92,Land,15.0,Recharge Trench
9.5,76.75,38.21,30.26,Land,15.0,Recharge Trench
9.5,77.0,36.05,31.02,Land,15.0,Recharge Trench
9.5,77.25,33.56,37.43,Land,3.0,Recharge Shaft
9.5,77.5,39.91,33.59,Land,15.0,Recharge Trench
9.5,77.75,39.92,34.92,Land,15.0,Recharge Trench
9.5,78.0,36.33,37.71,Land,3.0,Recharge Shaft
9.5,78.25,35.37,37.78,Land,3.0,Recharge Shaft
9.5,78.5,35.29,36.62,Land,3.0,Recharge Shaft
9.5,78.75,32.25,36.37,Land,3.0,Recharge Shaft
9.5,79.0,30.95,35.95,Land,3.0,Recharge Shaft
9.5,79.25,0.0,0.0,Water Body,0.0,None
9.75,76.25,0.0,0.0,Water Body,0.0,None
9.75,76.5,35.88,33.0,Land,15.0,Recharge Trench
9.75,76.75,35.2,33.19,Land,15.0,Recharge Trench
9.75,77.0,36.17,33.44,Land,15.0,Recharge Trench
9.75,77.25,33.61,35.58,Land,3.0,Recharge Shaft
9.75,77.5,38.4,35.2,Land,3.0,Recharge Shaft
9.75,77.75,44.3,32.3,Land,15.0,Recharge Trench
9.75,78.25,35.82,36.72,Land,3.0,Recharge Shaft
9.75,78.5,37.08,35.23,Land,3.0,Recharge Shaft
9.75,78.75,32.7,37.52,Land,3.0,Recharge Shaft
10.0,76.75,33.17,34.33,Land,15.0,Recharge Trench
10.0,77.0,39.3,34.2,Land,15.0,Recharge Trench
10.0,77.5,41.9,31.43,Land,15.0,Recharge Trench
10.0,77.75,41.71,33.61,Land,15.0,Recharge Trench
10.0,78.0,41.54,31.01,Land,15.0,Recharge Trench
10.0,78.25,38.01,35.25,Land,3.0,Recharge Shaft
10.0,78.5,36.48,36.01,Land,3.0,Recharge Shaft
10.0,78.75,36.03,35.45,Land,3.0,Recharge Shaft
10.0,79.0,32.62,38.58,Land,3.0,Recharge Shaft
10.25,76.0,0.0,0.0,Water Body,0.0,None
10.25,76.25,38.4,34.47,Land,15.0,Recharge Trench
10.25,76.5,37.29,31.74,Land,15.0,Recharge Trench
10.25,76.75,36.88,35.06,Land,3.0,Recharge Shaft
10.25,77.0,33.08,35.17,Land,3.0,Recharge Shaft
10.25,77.25,35.22,34.27,Land,15.0,Recharge Trench
10.25,77.5,37.12,32.81,Land,15.0,Recharge Trench
10.25,77.75,44.43,28.1,Land,15.0,Recharge Trench
10.25,78.0,37.02,33.57,Land,15.0,Recharge Trench
10.25,78.25,40.08,33.63,Land,15.0,Recharge Trench
10.25,78.5,35.87,36.31,Land,3.0,Recharge Shaft
10.25,78.75,34.88,34.45,Land,15.0,Recharge Trench
10.25,79.0,34.75,37.19,Land,3.0,Recharge Shaft
10.25,79.25,29.8,36.1,Land,3.0,Recharge Shaft
10.5,77.75,44.77,30.6,Land,15.0,Recharge Trench
10.5,78.0,41.13,27.63,Land,15.0,Recharge Trench
10.5,78.75,36.87,33.17,Land,15.0,Recharge Trench
10.5,79.0,36.87,33.5,Land,15.0,Recharge Trench
10.5,79.25,31.53,38.8,Land,3.0,Recharge Shaft
10.5,79.5,32.63,35.9,Land,3.0,Recharge Shaft
10.5,79.75,31.63,36.93,Land,3.0,Recharge Shaft
10.75,75.75,0.0,0.0,Water Body,0.0,None
10.75,76.0,38.63,30.82,Land,15.0,Recharge Trench
10.75,76.25,43.58,30.21,Land,15.0,Recharge Trench
10.75,76.5,42.71,31.7,Land,15.0,Recharge Trench
